sku_id,sku_name,category,supplier_id,on_hand_units,on_order_units,on_order_arrival_days,online_allocation_pct,unit_cost,unit_price,current_lead_time_days,trailing_4wk_avg_weekly_demand,trailing_8wk_avg_weekly_demand,safety_stock_units,reorder_point_units
APP-1042,Trail Runner Jacket,Apparel,SUP-01,22,0,0,0.25,42.0,95.0,14,148.75,94.62,47.3,236.6
APP-2210,Merino Base Layer,Apparel,SUP-01,94,0,0,0.4,18.5,48.0,14,25.25,27.25,13.6,68.1
APP-2255,Fleece Vest,Apparel,SUP-02,88,0,0,0.45,22.0,55.0,18,23.0,23.75,11.9,73.0
FTW-3301,Trail Runner Shoe - Men's,Footwear,SUP-03,128,0,0,0.4,38.0,110.0,45,51.0,51.5,25.8,356.9
FTW-3302,Trail Runner Shoe - Women's,Footwear,SUP-03,116,0,0,0.4,38.0,110.0,45,46.25,44.0,22.0,304.9
FTW-3350,Hiking Sandal,Footwear,SUP-03,46,120,12,0.4,24.0,65.0,45,18.25,17.75,8.9,123.0
EQP-4410,45L Backpack,Equipment,SUP-02,42,0,0,0.3,55.0,145.0,18,17.5,16.38,8.2,50.3
EQP-4455,2-Person Tent,Equipment,SUP-04,30,0,0,0.3,88.0,220.0,25,10.25,10.0,5.0,40.7
EQP-4478,Trekking Poles (Pair),Equipment,SUP-02,78,0,0,0.3,19.0,49.0,18,22.5,21.38,10.7,65.7
ACC-9901,Wool Socks (3-pack),Accessory,SUP-01,235,200,5,0.15,8.5,22.0,14,62.5,59.12,29.6,147.8
ACC-9915,Insulated Water Bottle,Accessory,SUP-04,95,0,0,0.15,6.0,19.0,25,34.5,36.75,18.4,149.6
ACC-9930,Headlamp,Accessory,SUP-04,83,0,0,0.15,9.5,28.0,25,27.25,26.62,13.3,108.4
ACC-9981,"Replacement Buckle, Blue",Accessory,SUP-02,3,0,0,0.04,1.2,6.0,18,0.25,0.25,0.1,0.7
ACC-9982,"Replacement Buckle, Black",Accessory,SUP-02,7,0,0,0.04,1.2,6.0,18,1.0,0.75,0.4,2.3
APP-2299,Rain Shell,Apparel,SUP-01,61,0,0,0.45,31.0,85.0,14,17.5,17.38,8.7,43.4
